,time,gen_energy,period_end
0,0.0,0.0,2019-01-21T18:30:00.0000000Z
1,0.5,0.0,2019-01-21T18:00:00.0000000Z
2,1.0,0.0,2019-01-21T17:30:00.0000000Z
3,1.5,0.0,2019-01-21T17:00:00.0000000Z
4,2.0,0.0,2019-01-21T16:30:00.0000000Z
5,2.5,0.0,2019-01-21T16:00:00.0000000Z
6,3.0,0.0,2019-01-21T15:30:00.0000000Z
7,3.5,0.0,2019-01-21T15:00:00.0000000Z
8,4.0,0.0,2019-01-21T14:30:00.0000000Z
9,4.5,0.0,2019-01-21T14:00:00.0000000Z
10,5.0,0.0,2019-01-21T13:30:00.0000000Z
11,5.5,0.0,2019-01-21T13:00:00.0000000Z
12,6.0,0.0,2019-01-21T12:30:00.0000000Z
13,6.5,0.0,2019-01-21T12:00:00.0000000Z
14,7.0,0.0,2019-01-21T11:30:00.0000000Z
15,7.5,0.061248,2019-01-21T11:00:00.0000000Z
16,8.0,0.8574719999999999,2019-01-21T10:30:00.0000000Z
17,8.5,3.3686399999999996,2019-01-21T10:00:00.0000000Z
18,9.0,5.512319999999999,2019-01-21T09:30:00.0000000Z
19,9.5,6.3085439999999995,2019-01-21T09:00:00.0000000Z
20,10.0,13.352064,2019-01-21T08:30:00.0000000Z
21,10.5,19.354367999999997,2019-01-21T08:00:00.0000000Z
22,11.0,25.724159999999998,2019-01-21T07:30:00.0000000Z
23,11.5,27.929087999999997,2019-01-21T07:00:00.0000000Z
24,12.0,30.685247999999998,2019-01-21T06:30:00.0000000Z
25,12.5,43.79232,2019-01-21T05:00:00.0000000Z
26,13.0,35.462592,2019-01-21T04:30:00.0000000Z
27,13.5,26.33664,2019-01-21T04:00:00.0000000Z
28,14.0,29.092799999999997,2019-01-21T03:30:00.0000000Z
29,14.5,26.397887999999995,2019-01-21T03:00:00.0000000Z
30,15.0,27.745343999999996,2019-01-21T02:30:00.0000000Z
31,15.5,32.522687999999995,2019-01-21T02:00:00.0000000Z
32,16.0,33.502655999999995,2019-01-21T01:30:00.0000000Z
33,16.5,29.521535999999998,2019-01-21T01:00:00.0000000Z
34,17.0,25.050431999999997,2019-01-21T00:30:00.0000000Z
35,17.5,21.375552,2019-01-21T00:00:00.0000000Z
36,18.0,17.026944,2019-01-20T23:30:00.0000000Z
37,18.5,9.125951999999998,2019-01-20T23:00:00.0000000Z
38,19.0,2.327424,2019-01-20T22:30:00.0000000Z
39,19.5,0.122496,2019-01-20T22:00:00.0000000Z
40,20.0,0.0,2019-01-20T21:30:00.0000000Z
41,20.5,0.0,2019-01-20T21:00:00.0000000Z
42,21.0,0.0,2019-01-20T20:30:00.0000000Z
43,21.5,0.0,2019-01-20T20:00:00.0000000Z
44,22.0,0.0,2019-01-20T19:30:00.0000000Z
45,22.5,0.0,2019-01-20T19:00:00.0000000Z
46,23.0,0.0,2019-01-20T18:30:00.0000000Z
