,air_temp,azimuth,cloud_opacity,dhi,dni,dni10,dni90,ebh,ghi,ghi10,ghi90,period,period_end,zenith
0,21,-113,52,0,0,0,0,0,0,0,0,PT30M,2019-01-25T21:00:00.0000000Z,107
1,21,-111,46,0,0,0,0,0,0,0,0,PT30M,2019-01-25T21:30:00.0000000Z,100
2,21,-110,41,2,0,0,4,0,2,1,2,PT30M,2019-01-25T22:00:00.0000000Z,93
3,22,-109,46,21,6,0,29,1,22,14,32,PT30M,2019-01-25T22:30:00.0000000Z,86
4,22,-108,60,52,5,0,55,1,53,31,90,PT30M,2019-01-25T23:00:00.0000000Z,79
5,22,-107,66,84,4,0,27,1,85,41,132,PT30M,2019-01-25T23:30:00.0000000Z,72
6,22,-107,72,103,2,0,11,1,104,48,164,PT30M,2019-01-26T00:00:00.0000000Z,65
7,23,-107,76,122,2,0,5,1,124,54,193,PT30M,2019-01-26T00:30:00.0000000Z,58
8,23,-108,74,165,2,0,9,1,166,76,256,PT30M,2019-01-26T01:00:00.0000000Z,50
9,23,-109,70,213,2,0,11,2,214,104,324,PT30M,2019-01-26T01:30:00.0000000Z,43
10,25,-111,68,264,2,0,20,2,266,136,396,PT30M,2019-01-26T02:00:00.0000000Z,36
11,25,-114,66,302,2,0,23,2,306,158,453,PT30M,2019-01-26T02:30:00.0000000Z,30
12,26,-120,66,320,2,0,23,2,322,158,488,PT30M,2019-01-26T03:00:00.0000000Z,23
13,26,-131,70,304,2,0,19,2,306,128,485,PT30M,2019-01-26T03:30:00.0000000Z,17
14,26,-152,74,266,1,0,11,1,267,77,456,PT30M,2019-01-26T04:00:00.0000000Z,12
15,25,172,79,220,1,0,7,1,221,26,416,PT30M,2019-01-26T04:30:00.0000000Z,11
16,25,142,82,188,0,0,5,0,188,0,386,PT30M,2019-01-26T05:00:00.0000000Z,14
17,23,125,82,181,0,0,5,0,181,0,375,PT30M,2019-01-26T05:30:00.0000000Z,19
18,23,117,80,188,0,0,7,0,188,2,374,PT30M,2019-01-26T06:00:00.0000000Z,26
19,23,113,77,196,1,0,9,1,197,23,369,PT30M,2019-01-26T06:30:00.0000000Z,32
20,23,110,75,194,1,0,11,1,195,40,349,PT30M,2019-01-26T07:00:00.0000000Z,39
21,23,108,74,176,1,0,13,1,177,42,310,PT30M,2019-01-26T07:30:00.0000000Z,46
22,23,108,75,147,2,0,13,1,148,37,259,PT30M,2019-01-26T08:00:00.0000000Z,53
23,23,107,75,114,2,0,10,1,115,28,201,PT30M,2019-01-26T08:30:00.0000000Z,60
24,22,107,76,80,2,0,8,1,80,20,142,PT30M,2019-01-26T09:00:00.0000000Z,67
25,22,108,76,50,0,0,8,0,50,11,87,PT30M,2019-01-26T09:30:00.0000000Z,75
26,22,108,77,22,0,0,5,0,22,5,38,PT30M,2019-01-26T10:00:00.0000000Z,82
27,22,109,77,2,0,0,0,0,2,1,4,PT30M,2019-01-26T10:30:00.0000000Z,89
28,22,110,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T11:00:00.0000000Z,96
29,22,112,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T11:30:00.0000000Z,103
30,22,114,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T12:00:00.0000000Z,109
31,22,116,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T12:30:00.0000000Z,116
32,22,119,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T13:00:00.0000000Z,123
33,22,123,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T13:30:00.0000000Z,129
34,22,128,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T14:00:00.0000000Z,135
35,22,135,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T14:30:00.0000000Z,141
36,22,143,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T15:00:00.0000000Z,146
37,22,154,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T15:30:00.0000000Z,149
38,22,168,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T16:00:00.0000000Z,152
39,22,-177,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T16:30:00.0000000Z,152
40,22,-162,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T17:00:00.0000000Z,151
41,22,-149,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T17:30:00.0000000Z,148
42,22,-139,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T18:00:00.0000000Z,144
43,22,-132,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T18:30:00.0000000Z,139
44,22,-126,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T19:00:00.0000000Z,133
45,22,-121,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T19:30:00.0000000Z,127
46,22,-118,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T20:00:00.0000000Z,120
47,22,-115,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T20:30:00.0000000Z,113
48,22,-113,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T21:00:00.0000000Z,107
49,22,-111,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T21:30:00.0000000Z,100
50,22,-110,77,0,0,0,0,0,0,0,0,PT30M,2019-01-26T22:00:00.0000000Z,93
51,22,-109,77,8,0,0,0,0,8,4,11,PT30M,2019-01-26T22:30:00.0000000Z,86
52,22,-108,76,32,0,0,5,0,32,16,47,PT30M,2019-01-26T23:00:00.0000000Z,79
53,22,-107,74,64,2,0,5,1,65,32,97,PT30M,2019-01-26T23:30:00.0000000Z,72
54,22,-107,73,101,2,0,7,1,102,53,152,PT30M,2019-01-27T00:00:00.0000000Z,65
55,22,-107,72,141,2,0,9,1,141,74,209,PT30M,2019-01-27T00:30:00.0000000Z,58
56,22,-108,70,176,2,0,11,1,177,89,264,PT30M,2019-01-27T01:00:00.0000000Z,51
57,22,-109,72,201,1,0,10,1,202,95,307,PT30M,2019-01-27T01:30:00.0000000Z,43
58,22,-110,74,212,1,0,9,1,213,89,336,PT30M,2019-01-27T02:00:00.0000000Z,36
59,22,-114,77,209,1,0,7,1,209,70,349,PT30M,2019-01-27T02:30:00.0000000Z,30
60,23,-119,80,195,1,0,4,1,196,41,350,PT30M,2019-01-27T03:00:00.0000000Z,23
61,22,-130,83,174,0,0,2,0,174,5,341,PT30M,2019-01-27T03:30:00.0000000Z,17
62,22,-151,85,151,0,0,2,0,151,0,328,PT30M,2019-01-27T04:00:00.0000000Z,12
63,22,172,87,136,0,0,2,0,136,0,318,PT30M,2019-01-27T04:30:00.0000000Z,10
64,22,141,87,136,0,0,2,0,136,0,319,PT30M,2019-01-27T05:00:00.0000000Z,14
65,22,125,85,154,0,0,2,0,154,0,333,PT30M,2019-01-27T05:30:00.0000000Z,19
66,22,117,80,178,0,0,5,0,178,7,349,PT30M,2019-01-27T06:00:00.0000000Z,25
67,22,112,77,196,1,0,8,1,197,38,356,PT30M,2019-01-27T06:30:00.0000000Z,32
68,22,110,75,198,1,0,10,1,198,57,342,PT30M,2019-01-27T07:00:00.0000000Z,39
69,22,108,74,181,1,0,11,1,182,59,305,PT30M,2019-01-27T07:30:00.0000000Z,46
70,21,107,74,151,2,0,11,1,152,50,252,PT30M,2019-01-27T08:00:00.0000000Z,53
71,21,107,75,115,2,0,10,1,115,38,194,PT30M,2019-01-27T08:30:00.0000000Z,60
72,21,107,75,80,2,0,8,1,80,26,136,PT30M,2019-01-27T09:00:00.0000000Z,67
73,21,107,76,49,0,0,8,0,49,16,82,PT30M,2019-01-27T09:30:00.0000000Z,75
74,21,108,76,21,0,0,5,0,21,7,35,PT30M,2019-01-27T10:00:00.0000000Z,82
75,21,109,76,2,0,0,0,0,2,1,2,PT30M,2019-01-27T10:30:00.0000000Z,89
76,21,110,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T11:00:00.0000000Z,96
77,21,112,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T11:30:00.0000000Z,103
78,21,113,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T12:00:00.0000000Z,109
79,21,116,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T12:30:00.0000000Z,116
80,21,119,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T13:00:00.0000000Z,123
81,21,123,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T13:30:00.0000000Z,129
82,21,128,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T14:00:00.0000000Z,135
83,21,134,79,0,0,0,0,0,0,0,0,PT30M,2019-01-27T14:30:00.0000000Z,141
84,21,143,79,0,0,0,0,0,0,0,0,PT30M,2019-01-27T15:00:00.0000000Z,146
85,21,154,79,0,0,0,0,0,0,0,0,PT30M,2019-01-27T15:30:00.0000000Z,150
86,21,168,79,0,0,0,0,0,0,0,0,PT30M,2019-01-27T16:00:00.0000000Z,152
87,21,-177,79,0,0,0,0,0,0,0,0,PT30M,2019-01-27T16:30:00.0000000Z,153
88,21,-162,79,0,0,0,0,0,0,0,0,PT30M,2019-01-27T17:00:00.0000000Z,151
89,21,-149,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T17:30:00.0000000Z,148
90,21,-139,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T18:00:00.0000000Z,144
91,21,-131,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T18:30:00.0000000Z,139
92,21,-126,77,0,0,0,0,0,0,0,0,PT30M,2019-01-27T19:00:00.0000000Z,133
93,21,-121,76,0,0,0,0,0,0,0,0,PT30M,2019-01-27T19:30:00.0000000Z,127
94,21,-118,75,0,0,0,0,0,0,0,0,PT30M,2019-01-27T20:00:00.0000000Z,120
95,21,-115,74,0,0,0,0,0,0,0,0,PT30M,2019-01-27T20:30:00.0000000Z,114
96,21,-113,73,0,0,0,0,0,0,0,0,PT30M,2019-01-27T21:00:00.0000000Z,107
97,21,-111,73,0,0,0,0,0,0,0,0,PT30M,2019-01-27T21:30:00.0000000Z,100
